expected_edge_bps,expected_spread_bps,funding_bps,cost_bps,adverse_buffer_bps
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
-13.420000000000002,16.0,0.58,28.0,2.0
