policy,ts,leg,side,price,tfi,tfi_abs,recent_cancel_aggressive_count_5s,recent_cancel_aggressive_density_5s,recent_quote_fade_count_5s,recent_tfi_fade_count_5s,recent_guard_count_5s,would_allow,suppress_reason,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777018065.989623,bid,buy,2305.84,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,tfi_abs_gt_0p6+cancel_density_gt_2p0,0.24599409103393555,tfi_fade,0,0,1
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777018065.989623,bid,buy,2305.84,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,tfi_abs_gt_0p6+guard_count_gt_5,0.24599409103393555,tfi_fade,0,0,1
A_current,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,True,,0.24599409103393555,tfi_fade,0,0,1
B_tfi_abs_lte_0p5,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,tfi_abs_gt_0p5,0.24599409103393555,tfi_fade,0,0,1
C_tfi_abs_lte_0p6,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,tfi_abs_gt_0p6,0.24599409103393555,tfi_fade,0,0,1
D_cancel_density_lte_1p0,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,cancel_density_gt_1p0,0.24599409103393555,tfi_fade,0,0,1
E_cancel_density_lte_2p0,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,cancel_density_gt_2p0,0.24599409103393555,tfi_fade,0,0,1
F_guard_count_lte_5,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,guard_count_gt_5,0.24599409103393555,tfi_fade,0,0,1
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,tfi_abs_gt_0p6+cancel_density_gt_2p0,0.24599409103393555,tfi_fade,0,0,1
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777018065.989623,ask,sell,2316.23,0.8253867344776437,0.8253867344776437,18,3.6,1,1,20,False,tfi_abs_gt_0p6+guard_count_gt_5,0.24599409103393555,tfi_fade,0,0,1
A_current,1777018066.2391245,bid,buy,2305.88,0.8253867344776437,0.8253867344776437,17,3.4,1,2,20,True,,0.260361909866333,tfi_fade,0,0,1
B_tfi_abs_lte_0p5,1777018066.2391245,bid,buy,2305.88,0.8253867344776437,0.8253867344776437,17,3.4,1,2,20,False,tfi_abs_gt_0p5,0.260361909866333,tfi_fade,0,0,1
C_tfi_abs_lte_0p6,1777018066.2391245,bid,buy,2305.88,0.8253867344776437,0.8253867344776437,17,3.4,1,2,20,False,tfi_abs_gt_0p6,0.260361909866333,tfi_fade,0,0,1
D_cancel_density_lte_1p0,1777018066.2391245,bid,buy,2305.88,0.8253867344776437,0.8253867344776437,17,3.4,1,2,20,False,cancel_density_gt_1p0,0.260361909866333,tfi_fade,0,0,1
E_cancel_density_lte_2p0,1777018066.2391245,bid,buy,2305.88,0.8253867344776437,0.8253867344776437,17,3.4,1,2,20,False,cancel_density_gt_2p0,0.260361909866333,tfi_fade,0,0,1
